Werkstoff,Kraft_N,Verlaengerung_mm,Querschnitt_mm2
Aluminium,41523.0,1.2364,49.4
Aluminium,44829.2,1.23731,50.3
Aluminium,44072.0,1.32584,48.6
Aluminium,43804.1,1.28754,48.6
Aluminium,44551.4,1.22422,51.0
Aluminium,46712.5,1.35837,49.6
Aluminium,47066.1,1.381,48.9
Aluminium,48734.5,1.37386,50.1
Aluminium,49460.2,1.39256,50.8
Aluminium,49941.7,1.44047,49.1
Titan,5090.8,0.09531,48.8
Titan,6448.1,0.11731,50.0
Titan,8105.5,0.15169,48.7
Titan,6764.8,0.12074,50.1
Titan,10379.9,0.18948,49.8
Titan,8030.2,0.14411,51.2
Titan,10388.8,0.19612,49.6
Titan,11899.2,0.22569,48.9
Titan,12571.7,0.24364,48.9
Titan,12767.1,0.22504,50.8
Titan,14017.2,0.25748,50.4
Titan,14707.6,0.27497,48.8
Titan,15548.9,0.30264,48.8
Titan,17618.5,0.3114,50.6
Titan,18142.8,0.33286,48.7
Titan,18221.2,0.32112,51.0
Titan,20413.6,0.35105,50.6
Titan,20858.1,0.38492,48.7
Titan,22180.9,0.40731,48.8
Titan,22952.7,0.4067,51.5
Titan,22704.2,0.41878,49.6
Titan,23837.6,0.45319,49.6
Titan,25801.9,0.46924,50.9
Titan,26610.7,0.46575,51.3
Titan,27024.1,0.46885,51.5
Titan,28053.0,0.50736,50.8
Titan,29899.7,0.53324,49.6
Titan,29322.7,0.56683,48.8
Titan,31152.0,0.57028,50.8
Titan,31470.9,0.56485,50.2
Titan,32376.9,0.5711,49.8
Titan,34348.4,0.62616,51.2
Titan,35048.1,0.65096,48.8
Titan,35956.9,0.67024,50.0
Titan,37268.9,0.67582,48.5
Titan,37159.7,0.66879,49.9
Titan,38606.8,0.72122,48.7
Titan,38731.4,0.72137,48.9
Titan,40157.3,0.74056,48.9
Titan,40712.2,0.74279,50.4
Titan,41812.3,0.73317,50.7
Titan,43129.2,0.77804,50.3
Titan,42916.9,0.76108,51.4
Titan,46163.7,0.85439,49.6
Titan,44603.3,0.83322,49.4
Titan,45355.2,0.78865,51.1
Titan,48171.4,0.86329,49.2
Titan,48796.6,0.88528,51.4
Titan,49580.9,0.93483,48.5
Titan,50502.7,0.87968,51.4
